id,clase_construcion,clase_zonificacion,proximidad_calle,area_propiedad,acceso_carretera,acceso_callejon,forma_propiedad,nivelado_propiedad,tipo_servicios,tipo_solar,nivelado_solar,vecindarion,proximidad_ferrocarril,proximidad_ferrocarril2,tipo_propiedad,estilo_propiedad,calidad_material,condicion_general,anio_construcion,anio_remodelacion,tipo_techo,material_techo,cubierta_exterior,revestimiento_exterior,tipo_chapa,area_revestimiento,calidad_exterior,condicion_exterior,tipo_cimiento,calidad_sotano,condicion_sotano,exposicion_sotano,tipo_sotano1,area_asotano1,tipo_sotano2,area_sotano2,area_nosotano,area_sotano,tipo_calefacion,calidad_calefacion,tipo_aireAcond,tipo_electricidad,area_piso1,area_piso2,area_bajacalidad,area_habitableUp,n_baniosSotano,n_mitadBanioSotano,n_banios,n_medioBanio,BedroomAbvGr,KitchenAbvGr,calidad_cocina,n_habitacionesNoBanios,calificacion_domestica,n_chimeneas,calidad_chimeneas,tipo_garage,anio_garage,acabado_garage,area_garageCoches,area_garage,calidad_garage,condicion_garage,tipo_entrada,area_madera,area_porcheAbierto,area_porcheCerrado,area_tresEstaPorche,area_pantalla_porche,area_pisicina,calidad_piscina,calidad_cerca,caracteristicas_noCubiertas,valor_miscelanea,mes_vendido,anio_vendido,tipo_venta,condicion_venta,precio
12,NEWER,LD,85.0,11924,P,,1,LVL,ALLPUB,INSIDE,0,NridgHt,NORNAM,NORMAL,SD,TS,9,5,2005,2006,H,SS,WSH,WDSHING,S,286.0,EX,2,PC,5.0,3.0,1.0,6.0,998.0,1.0,0.0,177.0,1175.0,GASA,4,1,SBRKR,1182,1142,0,2324,1.0,0.0,3,0,4,1,EX,11,TYP,2,GD,BUIN,2005.0,FIN,3.0,736.0,TA,TA,Y,147,21,0,0,0,0,,,,0,7,2006,NEW,PARTIAL,345000.0
13,NEWERSTYLES,LD,,12968,P,,2,LVL,ALLPUB,INSIDE,0,Sawyer,NORNAM,NORMAL,SD,OS,5,6,1962,1962,H,SS,HB,PLYWOOD,N,0.0,TA,2,CB,3.0,3.0,1.0,5.0,737.0,1.0,0.0,175.0,912.0,GASA,2,1,SBRKR,912,0,0,912,1.0,0.0,1,0,2,1,TA,4,TYP,0,,DETCH,1962.0,UNF,1.0,352.0,TA,TA,Y,140,0,0,0,176,0,,,,0,9,2008,WD,NORMAL,144000.0
14,NEWERSTYLES,LD,91.0,10652,P,,1,LVL,ALLPUB,INSIDE,0,CollgCr,NORNAM,NORMAL,SD,OS,7,5,2006,2007,G,SS,VS,VINYLSD,S,306.0,GD,2,PC,4.0,3.0,3.0,1.0,0.0,1.0,0.0,1494.0,1494.0,GASA,4,1,SBRKR,1494,0,0,1494,0.0,0.0,2,0,3,1,GD,7,TYP,1,GD,ATTCH,2006.0,RFN,3.0,840.0,TA,TA,Y,160,33,0,0,0,0,,,,0,8,2007,NEW,PARTIAL,279500.0
15,NEWERSTYLES,LD,,10920,P,,1,LVL,ALLPUB,CORNER,0,NAmes,NORNAM,NORMAL,SD,OS,6,5,1960,1960,H,SS,MS,METALSD,BF,212.0,TA,2,CB,3.0,3.0,1.0,4.0,733.0,1.0,0.0,520.0,1253.0,GASA,2,1,SBRKR,1253,0,0,1253,1.0,0.0,1,1,2,1,TA,5,TYP,1,FA,ATTCH,1960.0,RFN,1.0,352.0,TA,TA,Y,0,213,176,0,0,0,,GDWO,,0,5,2008,WD,NORMAL,157000.0
16,UNFINISHEDAGES,MD,51.0,6120,P,,0,LVL,ALLPUB,CORNER,0,BrkSide,NORNAM,NORMAL,SD,OHU,7,8,1929,2001,G,SS,WS,WDSDNG,N,0.0,TA,2,BT,3.0,3.0,1.0,1.0,0.0,1.0,0.0,832.0,832.0,GASA,4,1,FUSEA,854,0,0,854,0.0,0.0,1,0,2,1,TA,5,TYP,0,,DETCH,1991.0,UNF,2.0,576.0,TA,TA,Y,48,112,0,0,0,0,,GDPRV,,0,7,2007,WD,NORMAL,132000.0
17,NEWERSTYLES,LD,,11241,P,,1,LVL,ALLPUB,CULDSAC,0,NAmes,NORNAM,NORMAL,SD,OS,6,7,1970,1970,G,SS,WS,WDSDNG,BF,180.0,TA,2,CB,3.0,3.0,1.0,5.0,578.0,1.0,0.0,426.0,1004.0,GASA,4,1,SBRKR,1004,0,0,1004,1.0,0.0,1,0,2,1,TA,5,TYP,1,TA,ATTCH,1970.0,FIN,2.0,480.0,TA,TA,Y,0,0,0,0,0,0,,,SHED,700,3,2010,WD,NORMAL,149000.0
18,DUPLEX,LD,72.0,10791,P,,0,LVL,ALLPUB,INSIDE,0,Sawyer,NORNAM,NORMAL,D,OS,4,5,1967,1967,G,SS,MS,METALSD,N,0.0,TA,2,S,,,,,0.0,,0.0,0.0,0.0,GASA,2,1,SBRKR,1296,0,0,1296,0.0,0.0,2,0,2,2,TA,6,TYP,0,,CARP,1967.0,UNF,2.0,516.0,TA,TA,Y,0,0,0,0,0,0,,,SHED,500,10,2006,WD,NORMAL,90000.0
19,NEWERSTYLES,LD,66.0,13695,P,,0,LVL,ALLPUB,INSIDE,0,SawyerW,RRAE,NORMAL,SD,OS,5,5,2004,2004,G,SS,VS,VINYLSD,N,0.0,TA,2,PC,3.0,3.0,1.0,6.0,646.0,1.0,0.0,468.0,1114.0,GASA,4,1,SBRKR,1114,0,0,1114,1.0,0.0,1,1,3,1,GD,6,TYP,0,,DETCH,2004.0,UNF,2.0,576.0,TA,TA,Y,0,102,0,0,0,0,,,,0,6,2008,WD,NORMAL,159000.0
20,NEWERSTYLES,LD,70.0,7560,P,,0,LVL,ALLPUB,INSIDE,0,NAmes,NORNAM,NORMAL,SD,OS,5,6,1958,1965,H,SS,BF,PLYWOOD,N,0.0,TA,2,CB,3.0,3.0,1.0,2.0,504.0,1.0,0.0,525.0,1029.0,GASA,2,1,SBRKR,1339,0,0,1339,0.0,0.0,1,0,3,1,TA,6,MIN,0,,ATTCH,1958.0,UNF,1.0,294.0,TA,TA,Y,0,0,0,0,0,0,,MNPRV,,0,5,2009,COD,ABNORMAL,139000.0
21,NEWER,LD,101.0,14215,P,,1,LVL,ALLPUB,CORNER,0,NridgHt,NORNAM,NORMAL,SD,TS,8,5,2005,2006,G,SS,VS,VINYLSD,BF,380.0,GD,2,PC,5.0,3.0,3.0,1.0,0.0,1.0,0.0,1158.0,1158.0,GASA,4,1,SBRKR,1158,1218,0,2376,0.0,0.0,3,1,4,1,GD,9,TYP,1,GD,BUIN,2005.0,RFN,3.0,853.0,TA,TA,Y,240,154,0,0,0,0,,,,0,11,2006,NEW,PARTIAL,325300.0
22,UNFINISHEDAGES,MD,57.0,7449,P,G,0,BNK,ALLPUB,INSIDE,0,IDOTRR,NORNAM,NORMAL,SD,OHU,7,7,1930,1950,G,SS,WS,WDSDNG,N,0.0,TA,2,PC,3.0,3.0,1.0,1.0,0.0,1.0,0.0,637.0,637.0,GASA,4,1,FUSEF,1108,0,0,1108,0.0,0.0,1,0,3,1,GD,6,TYP,1,GD,ATTCH,1930.0,UNF,1.0,280.0,TA,TA,N,0,0,205,0,0,0,,GDPRV,,0,6,2007,WD,NORMAL,139400.0
23,NEWERSTYLES,LD,75.0,9742,P,,0,LVL,ALLPUB,INSIDE,0,CollgCr,NORNAM,NORMAL,SD,OS,8,5,2002,2002,H,SS,VS,VINYLSD,BF,281.0,GD,2,PC,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1777.0,1777.0,GASA,4,1,SBRKR,1795,0,0,1795,0.0,0.0,2,0,3,1,GD,7,TYP,1,GD,ATTCH,2002.0,RFN,2.0,534.0,TA,TA,Y,171,159,0,0,0,0,,,,0,9,2008,WD,NORMAL,230000.0
24,PUD,MD,44.0,4224,P,,0,LVL,ALLPUB,INSIDE,0,MeadowV,NORNAM,NORMAL,TEU,OS,5,7,1976,1976,G,SS,CB,CEMNTBD,N,0.0,TA,2,PC,4.0,3.0,1.0,6.0,840.0,1.0,0.0,200.0,1040.0,GASA,2,1,SBRKR,1060,0,0,1060,1.0,0.0,1,0,3,1,TA,6,TYP,1,TA,ATTCH,1976.0,UNF,2.0,572.0,TA,TA,Y,100,110,0,0,0,0,,,,0,6,2007,WD,NORMAL,129900.0
25,NEWERSTYLES,LD,,8246,P,,1,LVL,ALLPUB,INSIDE,0,Sawyer,NORNAM,NORMAL,SD,OS,5,8,1968,2001,G,SS,PW,PLYWOOD,N,0.0,TA,3,CB,3.0,3.0,2.0,3.0,188.0,5.0,668.0,204.0,1060.0,GASA,4,1,SBRKR,1060,0,0,1060,1.0,0.0,1,0,3,1,GD,6,TYP,1,TA,ATTCH,1968.0,UNF,1.0,270.0,TA,TA,Y,406,90,0,0,0,0,,MNPRV,,0,5,2010,WD,NORMAL,154000.0
26,NEWERSTYLES,LD,110.0,14230,P,,0,LVL,ALLPUB,CORNER,0,NridgHt,NORNAM,NORMAL,SD,OS,8,5,2007,2007,G,SS,VS,VINYLSD,S,640.0,GD,2,PC,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1566.0,1566.0,GASA,4,1,SBRKR,1600,0,0,1600,0.0,0.0,2,0,3,1,GD,7,TYP,1,GD,ATTCH,2007.0,RFN,3.0,890.0,TA,TA,Y,0,56,0,0,0,0,,,,0,7,2009,WD,NORMAL,256300.0
27,NEWERSTYLES,LD,60.0,7200,P,,0,LVL,ALLPUB,CORNER,0,NAmes,NORNAM,NORMAL,SD,OS,5,7,1951,2000,G,SS,WS,WDSDNG,N,0.0,TA,2,CB,3.0,3.0,2.0,4.0,234.0,3.0,486.0,180.0,900.0,GASA,2,1,SBRKR,900,0,0,900,0.0,1.0,1,0,3,1,GD,5,TYP,0,,DETCH,2005.0,UNF,2.0,576.0,TA,TA,Y,222,32,0,0,0,0,,,,0,5,2010,WD,NORMAL,134800.0
28,NEWERSTYLES,LD,98.0,11478,P,,0,LVL,ALLPUB,INSIDE,0,NridgHt,NORNAM,NORMAL,SD,OS,8,5,2007,2008,G,SS,VS,VINYLSD,S,200.0,GD,2,PC,5.0,3.0,1.0,6.0,1218.0,1.0,0.0,486.0,1704.0,GASA,4,1,SBRKR,1704,0,0,1704,1.0,0.0,2,0,3,1,GD,7,TYP,1,GD,ATTCH,2008.0,RFN,3.0,772.0,TA,TA,Y,0,50,0,0,0,0,,,,0,5,2010,WD,NORMAL,306000.0
29,NEWERSTYLES,LD,47.0,16321,P,,1,LVL,ALLPUB,CULDSAC,0,NAmes,NORNAM,NORMAL,SD,OS,5,6,1957,1997,G,SS,MS,METALSD,N,0.0,TA,2,CB,3.0,3.0,4.0,4.0,1277.0,1.0,0.0,207.0,1484.0,GASA,2,1,SBRKR,1600,0,0,1600,1.0,0.0,1,0,2,1,TA,6,TYP,2,GD,ATTCH,1957.0,RFN,1.0,319.0,TA,TA,Y,288,258,0,0,0,0,,,,0,12,2006,WD,NORMAL,207500.0
30,OLDER,MD,60.0,6324,P,,1,LVL,ALLPUB,INSIDE,0,BrkSide,FEEDR,RRNN,SD,OS,4,6,1927,1950,G,SS,MS,METALSD,N,0.0,TA,2,BT,3.0,3.0,1.0,1.0,0.0,1.0,0.0,520.0,520.0,GASA,1,0,SBRKR,520,0,0,520,0.0,0.0,1,0,1,1,FA,4,TYP,0,,DETCH,1920.0,UNF,1.0,240.0,FA,TA,Y,49,0,87,0,0,0,,,,0,5,2008,WD,NORMAL,68500.0
31,OLDER,C,50.0,8500,P,P,0,LVL,ALLPUB,INSIDE,0,IDOTRR,FEEDR,NORMAL,SD,TS,4,4,1920,1950,GB,SS,BF,BRKFACE,N,0.0,TA,1,BT,3.0,3.0,1.0,1.0,0.0,1.0,0.0,649.0,649.0,GASA,2,0,SBRKR,649,668,0,1317,0.0,0.0,1,0,3,1,TA,6,TYP,0,,DETCH,1920.0,UNF,1.0,250.0,TA,FA,N,0,54,172,0,0,0,,MNPRV,,0,7,2008,WD,NORMAL,40000.0
32,NEWERSTYLES,LD,,8544,P,,1,LVL,ALLPUB,CULDSAC,0,Sawyer,NORNAM,NORMAL,SD,OS,5,6,1966,2006,G,SS,HB,HDBOARD,N,0.0,TA,2,CB,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1228.0,1228.0,GASA,3,1,SBRKR,1228,0,0,1228,0.0,0.0,1,1,3,1,GD,6,TYP,0,,ATTCH,1966.0,UNF,1.0,271.0,TA,TA,Y,0,65,0,0,0,0,,MNPRV,,0,6,2008,WD,NORMAL,149350.0
33,NEWERSTYLES,LD,85.0,11049,P,,0,LVL,ALLPUB,CORNER,0,CollgCr,NORNAM,NORMAL,SD,OS,8,5,2007,2007,G,SS,VS,VINYLSD,N,0.0,GD,2,PC,5.0,3.0,3.0,1.0,0.0,1.0,0.0,1234.0,1234.0,GASA,4,1,SBRKR,1234,0,0,1234,0.0,0.0,2,0,3,1,GD,7,TYP,0,,ATTCH,2007.0,RFN,2.0,484.0,TA,TA,Y,0,30,0,0,0,0,,,,0,1,2008,WD,NORMAL,179900.0
34,NEWERSTYLES,LD,70.0,10552,P,,1,LVL,ALLPUB,INSIDE,0,NAmes,NORNAM,NORMAL,SD,OS,5,5,1959,1959,H,SS,BF,BRKFACE,N,0.0,TA,2,CB,3.0,3.0,1.0,3.0,1018.0,1.0,0.0,380.0,1398.0,GASA,3,1,SBRKR,1700,0,0,1700,0.0,1.0,1,1,4,1,GD,6,TYP,1,GD,ATTCH,1959.0,RFN,2.0,447.0,TA,TA,Y,0,38,0,0,0,0,,,,0,4,2010,WD,NORMAL,165500.0
35,PUD,LD,60.0,7313,P,,0,LVL,ALLPUB,INSIDE,0,NridgHt,NORNAM,NORMAL,TEU,OS,9,5,2005,2005,H,SS,MS,METALSD,BF,246.0,EX,2,PC,5.0,3.0,1.0,6.0,1153.0,1.0,0.0,408.0,1561.0,GASA,4,1,SBRKR,1561,0,0,1561,1.0,0.0,2,0,2,1,EX,6,TYP,1,GD,ATTCH,2005.0,FIN,2.0,556.0,TA,TA,Y,203,47,0,0,0,0,,,,0,8,2007,WD,NORMAL,277500.0
36,NEWER,LD,108.0,13418,P,,0,LVL,ALLPUB,INSIDE,0,NridgHt,NORNAM,NORMAL,SD,TS,8,5,2004,2005,G,SS,VS,VINYLSD,S,132.0,GD,2,PC,5.0,3.0,3.0,1.0,0.0,1.0,0.0,1117.0,1117.0,GASA,4,1,SBRKR,1132,1320,0,2452,0.0,0.0,3,1,4,1,GD,9,TYP,1,GD,BUIN,2004.0,FIN,3.0,691.0,TA,TA,Y,113,32,0,0,0,0,,,,0,9,2006,WD,NORMAL,309000.0
37,NEWERSTYLES,LD,112.0,10859,P,,0,LVL,ALLPUB,CORNER,0,CollgCr,NORNAM,NORMAL,SD,OS,5,5,1994,1995,G,SS,VS,VINYLSD,N,0.0,TA,2,PC,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1097.0,1097.0,GASA,4,1,SBRKR,1097,0,0,1097,0.0,0.0,1,1,3,1,TA,6,TYP,0,,ATTCH,1995.0,UNF,2.0,672.0,TA,TA,Y,392,64,0,0,0,0,,,,0,6,2009,WD,NORMAL,145000.0
38,NEWERSTYLES,LD,74.0,8532,P,,0,LVL,ALLPUB,INSIDE,0,NAmes,NORNAM,NORMAL,SD,OS,5,6,1954,1990,H,SS,WS,WDSDNG,BF,650.0,TA,2,CB,3.0,3.0,1.0,3.0,1213.0,1.0,0.0,84.0,1297.0,GASA,3,1,SBRKR,1297,0,0,1297,0.0,1.0,1,0,3,1,TA,5,TYP,1,TA,ATTCH,1954.0,FIN,2.0,498.0,TA,TA,Y,0,0,0,0,0,0,,,,0,10,2009,WD,NORMAL,153000.0
39,NEWERSTYLES,LD,68.0,7922,P,,0,LVL,ALLPUB,INSIDE,0,NAmes,NORNAM,NORMAL,SD,OS,5,7,1953,2007,G,SS,VS,VINYLSD,N,0.0,TA,3,CB,3.0,3.0,1.0,6.0,731.0,1.0,0.0,326.0,1057.0,GASA,2,1,SBRKR,1057,0,0,1057,1.0,0.0,1,0,3,1,GD,5,TYP,0,,DETCH,1953.0,UNF,1.0,246.0,TA,TA,Y,0,52,0,0,0,0,,,,0,1,2010,WD,ABNORMAL,109000.0
40,DUPLEX,LD,65.0,6040,P,,0,LVL,ALLPUB,INSIDE,0,Edwards,NORNAM,NORMAL,D,OS,4,5,1955,1955,G,SS,AS,PLYWOOD,N,0.0,TA,2,PC,,,,,0.0,,0.0,0.0,0.0,GASA,2,0,FUSEP,1152,0,0,1152,0.0,0.0,2,0,2,2,FA,6,TYP,0,,,,,0.0,0.0,,,N,0,0,0,0,0,0,,,,0,6,2008,WD,ADJLAND,82000.0
41,NEWERSTYLES,LD,84.0,8658,P,,0,LVL,ALLPUB,INSIDE,0,NAmes,NORNAM,NORMAL,SD,OS,6,5,1965,1965,G,SS,WS,WDSDNG,BF,101.0,TA,2,CB,3.0,3.0,1.0,3.0,643.0,1.0,0.0,445.0,1088.0,GASA,4,1,SBRKR,1324,0,0,1324,0.0,0.0,2,0,3,1,TA,6,TYP,1,TA,ATTCH,1965.0,RFN,2.0,440.0,TA,TA,Y,0,138,0,0,0,0,,GDWO,,0,12,2006,WD,ABNORMAL,160000.0
42,NEWERSTYLES,LD,115.0,16905,P,,0,LVL,ALLPUB,INSIDE,0,Timber,NORNAM,NORMAL,SD,OS,5,6,1959,1959,G,SS,VS,VINYLSD,N,0.0,TA,3,CB,3.0,3.0,4.0,4.0,967.0,1.0,0.0,383.0,1350.0,GASA,3,1,SBRKR,1328,0,0,1328,0.0,1.0,1,1,2,1,TA,5,TYP,2,GD,ATTCH,1959.0,RFN,1.0,308.0,TA,TA,P,0,104,0,0,0,0,,,,0,7,2007,WD,NORMAL,170000.0
43,FOYER,LD,,9180,P,,1,LVL,ALLPUB,CULDSAC,0,SawyerW,NORNAM,NORMAL,SD,SF,5,7,1983,1983,G,SS,HB,HDBOARD,N,0.0,TA,2,CB,4.0,3.0,3.0,5.0,747.0,2.0,93.0,0.0,840.0,GASA,3,1,SBRKR,884,0,0,884,1.0,0.0,1,0,2,1,GD,5,TYP,0,,ATTCH,1983.0,RFN,2.0,504.0,TA,GD,Y,240,0,0,0,0,0,,MNPRV,,0,12,2007,WD,NORMAL,144000.0
44,NEWERSTYLES,LD,,9200,P,,1,LVL,ALLPUB,CULDSAC,0,CollgCr,NORNAM,NORMAL,SD,OS,5,6,1975,1980,H,SS,VS,VINYLSD,N,0.0,TA,2,CB,4.0,3.0,3.0,2.0,280.0,4.0,491.0,167.0,938.0,GASA,2,1,SBRKR,938,0,0,938,1.0,0.0,1,0,3,1,TA,5,TYP,0,,DETCH,1977.0,UNF,1.0,308.0,TA,TA,Y,145,0,0,0,0,0,,MNPRV,,0,7,2008,WD,NORMAL,130250.0
45,NEWERSTYLES,LD,70.0,7945,P,,0,LVL,ALLPUB,INSIDE,0,NAmes,NORNAM,NORMAL,SD,OS,5,6,1959,1959,G,SS,BF,WDSDNG,N,0.0,TA,2,CB,3.0,3.0,1.0,5.0,179.0,4.0,506.0,465.0,1150.0,GASA,4,1,FUSEA,1150,0,0,1150,1.0,0.0,1,0,3,1,TA,6,TYP,0,,ATTCH,1959.0,RFN,1.0,300.0,TA,TA,Y,0,0,0,0,0,0,,,,0,5,2006,WD,NORMAL,141000.0
46,PUD,LD,61.0,7658,P,,0,LVL,ALLPUB,INSIDE,0,NridgHt,NORNAM,NORMAL,TEU,OS,9,5,2005,2005,H,SS,MS,METALSD,BF,412.0,EX,2,PC,5.0,3.0,1.0,6.0,456.0,1.0,0.0,1296.0,1752.0,GASA,4,1,SBRKR,1752,0,0,1752,1.0,0.0,2,0,2,1,EX,6,TYP,1,GD,ATTCH,2005.0,RFN,2.0,576.0,TA,TA,Y,196,82,0,0,0,0,,,,0,2,2010,WD,NORMAL,319900.0
47,FINISHEDAGES,LD,48.0,12822,P,,1,LVL,ALLPUB,CULDSAC,0,Mitchel,NORNAM,NORMAL,SD,OHF,7,5,2003,2003,G,SS,VS,VINYLSD,N,0.0,GD,2,PC,5.0,3.0,1.0,6.0,1351.0,1.0,0.0,83.0,1434.0,GASA,4,1,SBRKR,1518,631,0,2149,1.0,0.0,1,1,1,1,GD,6,TYP,1,EX,ATTCH,2003.0,RFN,2.0,670.0,TA,TA,Y,168,43,0,0,198,0,,,,0,8,2009,WD,ABNORMAL,239686.0
